cast,crew,date,playwright,playwright_formatted,playwright_formatted_long,run,season,title,type,venue,year_title
Nick Barker/Ben Williamson/Cressida McGill/Lyle Fulton/Ginny Lee/Ajay Stevenson/Dave Porter/Alfie Cranmer/Nick Gill/Tom Hicks/Penny Bainbridge/Jamie Prentis/Becca Clee/Harriet Davis/Rosie Freathy/,James McAndrew/Nick Stevenson/Chelsea Jayne Wright/Joanne Blunt/Sacha Elledge/Page Phillips Harrington/Rory O'Shea/Kat Tye/Andy Routledge/Aubrey Turner/Giles Gear/Euan Ritchie/Hugh Purves/Tyler-Antonia Gordon/James Gregory/Hannah Higgins/Zoe Langston-Blass/Logan Wamsley/Will Pimblett/,2013-12-04,William Shakespeare,by William Shakespeare,by William Shakespeare,4-7 December 2013,In House,Titus Andronicus,show,New Theatre,2013-14
James Roscow/Jordan Edgar-Oliyide/Toby Stevens/Becca Jones/Emma McDonald/Becca Clee/,Lilly Dawson/Nick Gill/Aubrey Turner/Molly McGee/Dave Porter/Nathan Penney/Joseph Heil/Joanne Blunt/Matt Standen/Adam Bergen/Chloe Rushby/Logan Wamsley/Oliver Warlow/Hugh Purves/,2014-05-14,Nina Raine,by Nina Raine,by Nina Raine,14-17 May 2014,In House,Tribes,show,New Theatre,2013-14
Chris Walters/Alex Hollingsworth/Christey Nethercott/Sam Warren/Jacob Hayes/,Gus Miller/Angus MacRae/Aubrey Turner/,2013-10-19,Peter Cary,by Peter Cary,by Peter Cary,19 October 2013,External,Vessel,show,New Theatre,2013-14
Cameron Walker/Charlotte Kirkman/Emily Brady/Holly Gatfield/Patrick Sheerin/,Nikki Hill/Kati Hall/,2014-11-24,Nikki Hill,by Nikki Hill,by Nikki Hill,24-25 November 2014,Fringe,40%,show,Lee Rosy's Tea Rooms,2014-15
Laura Jayne Bateman/Emily Brady/Rachel Connolly/James Roscow/Daniel O'Connor/Jessica Millott/Libby Boyd/Nick Gill/Ben Maries/Lou Knapp/Eoin Buckley/Emma Kendall/Beth Wilson/,Martin Berry/Louise Croft/Dorrie Scott/Richard Statham/Jo James/Morgan Whiting-Fawcett/Hannah Kettle/Joseph Heil/Manuel Barenz/,2015-04-27,William Shakespeare,by William Shakespeare,by William Shakespeare,27 April-2 May 2015,Lakeside,A Midsummer Night's Dream,show,Djanogly Theatre,2014-15
NA,NA,2015-06-18,null,Playwright Unknown,Playwright Unknown,18-19 June 2015,STUFF,An Introduction to Improvised Storytelling,show,New Theatre Studio B,2014-15
Ben Standish/Owen Lewis/,Charlotte van Rhee/Harriet Lowe/Joanne Blunt/Joanne Blunt/David Taylor/Max Miller/,2015-06-18,Kieran Hurley,by Kieran Hurley,by Kieran Hurley,18-19 June 2015,STUFF,Beats,show,New Theatre Studio A,2014-15
James Pardon/John Bell/Nick Slater/Joe Hincks/Chris Trueman/Mike Bradley/Ricki Crook/,Charlotte van Rhee/Tom Tolond/Molly McGee/Lizzie Jane Albas/Joseph Heil/Harry Bridge/Darcey Graham/Charlotte van Rhee/Tom Tolond/Molly McGee/James Bentley/Eden Phillips Harrington/Joseph Heil/Kathy Shepherd/Nikki Vigilance/Darcey Graham/Maddie Hardy/Bea English/Alex Huntley/Emilie Brittain/Sasha Gibson/Tom Herzberg/,2014-11-19,Martin Sherman,by Martin Sherman,by Martin Sherman,19-22 November 2014,In House,Bent,show,New Theatre,2014-15
Nick Gill/,Tom Tolond/Tom Heath/Joanne Blunt/Joanne Blunt/Nathan Penney/Gus Herbert/,2015-06-06,Luke Barnes,by Luke Barnes,by Luke Barnes,6-7 June 2015,External,Bottleneck,show,New Theatre Studio A,2014-15
Nick Gill/,Tom Tolond/Tom Heath/Joanne Blunt/Joanne Blunt/Nathan Penney/Gus Herbert/,2015-06-17,Luke Barnes,by Luke Barnes,by Luke Barnes,17-19 June 2015,STUFF,Bottleneck,show,New Theatre Studio A,2014-15
Izzie Masters/Arnaud Lacey/Cameron Walker/Leonardo Goodall/Beth Mullen/Kathy Shepherd/Victoria Rudolph/,Ellen Richardson/Joe Strickland/Lauren Day/Laura Thornton/Lydia Dyer/Darcey Graham/David Taylor/Alex Huntley/Joe Strickland/Ellen Richardson/,2015-05-13,Aldous Huxley,by Aldous Huxley,by Aldous Huxley; Adapted by Roger Parsley,13-16 May 2015,In House,Brave New World,show,New Theatre,2014-15
Maddie Hardy/Libby Boyd/Genevieve Cunnell/Becca Jones/Nick Slater/Diderik Ypma/,Nikki Hill/Gus Herbert/Darcey Graham/Lydia Smith/,2015-08-07,Nikki Hill,by Nikki Hill,by Nikki Hill,7-31 August 2015,Edinburgh,Cheque/Please,show,ZOO Monkeyhouse,2014-15
Maddie Hardy/Libby Boyd/Genevieve Cunnell/Becca Jones/Nick Slater/Diderik Ypma/,Nikki Hill/Gus Herbert/Darcey Graham/Joseph Heil/,2015-06-17,Nikki Hill,by Nikki Hill,by Nikki Hill,17 June 2015,STUFF,Cheque/Please,show,New Theatre,2014-15
NA,NA,2015-06-17,null,Playwright Unknown,Playwright Unknown,17 June 2015,STUFF,Debating Union,show,New Theatre,2014-15
Chloe Bickford/Daniel O'Connor/Laura Jayne Bateman/Aimee Gaudin/Emilie Brittain/Niamh Caines/Sasha Gibson/Kati Hall/Maddie Hardy/Harriet Lowe/Beth Mullen/Harry Robertson/James Roscow/Matt Standen/Nick Stevenson/,Jake Leonard/Harriet Lowe/Tom Proffitt/Michael Ferdenzi/Gus Herbert/Kat Tye/Lauren Sturges/Molly Lockwood/Harry Bridge/Clarissa-Anne Teo/Joseph Heil/Nathan Penney/Ollie Shortt/Joseph Heil/Harry Bridge/Darcey Graham/Joanna Manning/Kathy Shepherd/Lydia Philips/Maddie Hardy/Lucy Price/Eden Phillips Harrington/Ben Hollands/,2014-11-12,Patrick Shanley,by Patrick Shanley,by Patrick Shanley,12-15 November 2014,In House,Doubt,show,New Theatre,2014-15
Ben Hollands/Emily Brady/,NA,2015-02-09,null,Playwright Unknown,Playwright Unknown,9-10 February 2015,External,Emily and Ben in 'A Likely Story',show,New Theatre,2014-15
Ben Hollands/Emily Brady/,Joseph Heil/Joanne Blunt/Joanne Blunt/Manuel Barenz/,2015-06-17,null,Playwright Unknown,Playwright Unknown,17 June 2015,STUFF,Emily and Ben in 'A Likely Story',show,New Theatre Studio A,2014-15
NA,NA,2014-09-30,null,Playwright Unknown,Playwright Unknown,30 September 2014,External,First Do No Harm,show,New Theatre,2014-15
Jess Leppington/Niamh Caines/Amy Naylor/Jake McGrath/James McGilloway/Ella Suchoruczka/Anouschka Greenwood/Daniel Stranks/Mia Ottman/Sofia Knowles/Frankie Berger/Sofia Ribaroff/Cati Fear/Siobhan Hartley/Alex Jarvis/Ben Standish/Jacob McCafferty/Clarissa-Anne Teo/Alba Bodi/Alix Gabaude/Darcey Graham/Josh Battaliou/Leonardo Goodall/James Curling/Nick Clay/Chloe Bates/Missy Dipre/Li Li Zhu/Arzhia Habibi/Rachel Miln/Carn Truscott/Lydia Bird/Robyn Chanter/Nick Sutton-Smith/Emma Woods/Eleanor Matthams/Zorcha Dean/Ian Sheard/Patrick Sheerin/Emilie Brittain/Liv Stone/Maazah Muhammad/Naomi Hodson/Ryan Chatha/Kyran Kanda/Zoe Keystone/Ruby Hawley/Felicity Chilver/Daniella Finch/Arnaud Lacey/Ileri Emmanuel Adeoye/Barney Paul/Max Miller/Lois Cheung/Vpaula Pareja/Lara Cowler/Ashley Preston/Sasha Gibson/Anna Scholes/Jo Kellen/Sam Young/Joe Hincks/Holly Gatfield/Beth Mullen/Elinor Ward/Francesca Alster/Emma Fearon/Adam Kayami/Laura McDonald/Nick Allslatt/Mike Bradley/Cansu Suzie Arslam/Louise Harris/Becki Jones/Alice Richards/Charlotte Kirkman/Duncan McGillivray/,Will Berrington/Nick Gill/Gus Herbert/Ollie Shortt/Jake Leonard/Ben Hollands/Jess Lundholm/Lou Knapp/Chris Trueman/Matthew Lewinton/Boo Jackson/Tom Heath/Matt Hodges/Tyler-Antonia Gordon/Page Phillips Harrington/Eden Phillips Harrington/Dave Porter/Gary Berezin/Beth Wilson/Omid Faramarzi/Maddie Hardy/Joseph Heil/David Taylor/Joseph Heil/Joanne Blunt/Sam Osborne/,2014-10-06,null,Various Writers,Various Writers,6-7 October 2014,In House,Freshers' Fringe,show,New Theatre,2014-15
NA,Joseph Heil/Nathan Penney/,2014-11-16,Kate Tempest,by Kate Tempest,by Kate Tempest,16 November 2014,External,Hopelessly Devoted,show,New Theatre,2014-15
Ben Williamson/Emma McDonald/Will Berrington/,Boo Jackson/Tom Heath/Nathan Penney/Nathan Penney/Joanne Blunt/Maddie Hardy/,2014-11-17,Boo Jackson and Tom Heath,by Boo Jackson and Tom Heath,by Boo Jackson and Tom Heath,17-18 November 2014,Fringe,Infirmity,show,New Theatre Studio A,2014-15
Nick Gill/Genevieve Cunnell/Becca Jones/Rachel Connolly/Sam Peake/Shannon Smith/James Roscow/Ollie Shortt/Ben Hollands/Jake McGrath/Dave Porter/Niamh Caines/Omid Faramarzi/Karl Rawsthorne/Emilie Brittain/Bethany Ames/James Curling/Nathan Dampier/Holly Gatfield/Arzhia Habibi/Immy Hulbert/Bernie Kerr/Charlotte Kirkman/Max Miller/Beth Mullen/Akash Ramnath/Elinor Ward/,Gus Herbert/Matt Standen/Ruby Hawley/Nathan Penney/Joanne Blunt/Joseph Heil/Joanne Blunt/Hazel O'Donohoe/Sam Osborne/Joanna Manning/Tom Tolond/Darcey Graham/Ben Maries/Tyler-Antonia Gordon/Alex Jamieson/Ben Hollands/Ben Hollands/Maddie Hardy/,2014-12-09,William Shakespeare,by William Shakespeare,by William Shakespeare,9-12 December 2014,In House,King Lear,show,New Theatre,2014-15
NA,Joseph Heil/,2015-06-18,null,Playwright Unknown,Playwright Unknown,18 June 2015,STUFF,Latin Ballroom Salsa Society Showcase,show,New Theatre,2014-15
Carn Truscott/Libby Boyd/,Nikki Hill/Kati Hall/Harriet Lowe/Max Miller/Joseph Heil/Joanne Blunt/James Fox/Tyler-Antonia Gordon/Alex Tribley/Adam Humphries/Ali Uzair Lalani/Nathan Penney/Ellie O'Donnell/Kate Fisher/Omid Faramarzi/Darcey Graham/Nikki Hill/Nikki Hill/Harry Bridge/Tom Selves/,2015-03-04,Nikki Hill,by Nikki Hill,by Nikki Hill,4-7 March 2015,In House,Let's Just Pretend,show,New Theatre,2014-15
Lara Tysseling/Amelia Gann/Nick Jeffrey/Shannon Smith/,Bridie Rollins/Dina Elkordy/Will Berrington/Joseph Heil/,2015-05-04,null,Devised,Devised,4-5 May 2015,Fringe,Lust/Liquor/Burn,show,null,2014-15
NA,NA,2015-06-18,null,Playwright Unknown,Playwright Unknown,18 June 2015,STUFF,NNT & URN PresentsMoonlighters,show,The Lacehouse,2014-15
Ben Hollands/Jacob Hayes/,Laura Jayne Bateman/Lydia Smith/Anna Scholes/Gus Herbert/David Taylor/James Fox/Niamh Caines/Jake Leonard/Kathy Shepherd/Amy Naylor/Max Miller/Libby Boyd/Ben Hollands/,2015-03-11,Stephen MacDonald,by Stephen MacDonald,by Stephen MacDonald,11-14 March 2015,In House,Not About Heroes,show,New Theatre,2014-15
NA,NA,2015-06-18,null,Playwright Unknown,Playwright Unknown,18 June 2015,STUFF,Noumena WritersPoetry and Prose Showcase,show,New Theatre Studio A,2014-15
Chloe Bickford/Genevieve Cunnell/Shannon Smith/,Gus Herbert/Matt Standen/Max Miller/,2015-05-30,Harold Pinter,by Harold Pinter,by Harold Pinter,30-31 May 2015,External,Old Times,show,New Theatre,2014-15
Ricki Crook/Holly Gatfield/Amy Brough-Aikin/Jonathan Taylor Davies/Arnaud Lacey/,Jack Revell/Emma Kendall/Darcey Graham/Lydia Smith/,2015-08-08,null,Devised,Devised,8-28 August 2015,Edinburgh,OPEN,show,ZOO Monkeyhouse,2014-15
