cast,crew,date,playwright,playwright_formatted,playwright_formatted_long,run,season,title,type,venue,year_title
Ben Standish/Sophie Walton/Lou Knapp/Gigi George/Sasha Butler/,Laura Jayne Bateman/Aneesa Kaleem/Anna Stubbs/James Fox/James Fox/Adam Humphries/Bessie Ephgrave/Jess Donn/Emma Barber/Felicity Chilver/Daniella Finch/Sasha Gibson/Charlotte Kirkman/Izzie Masters/Amy Naylor/Niamh Caines/Sasha Gibson/Lydia Smith/Aneesa Kaleem/,2016-03-02,Amanda Whittington,by Amanda Whittington,by Amanda Whittington,2-5 March 2016,In House,The Thrill of Love,show,New Theatre,2015-16
NA,Sam Osborne/,2016-06-15,Emma Bentley,by Emma Bentley,by Emma Bentley,15 June 2016,STUFF,To She Or Not To She,show,New Theatre Studio A,2015-16
Arnaud Lacey/Elis Edhem/Andrew Houghton/Ian Sheard/Daniella Finch/Sam Peake/,Jamie Drew/Joanne Blunt/Arthur Mckechnie/Jennifer Orme/Keir Birchall/Dina Elkordy/,2016-08-05,Ian Sheard & Jamie Drew,by Ian Sheard & Jamie Drew,by Ian Sheard & Jamie Drew,5-27 August 2016,Edinburgh,Tyrannosaurus Sketch,show,Royal Terrace/Greenside,2015-16
Arnaud Lacey/Elis Edhem/Andrew Houghton/Ian Sheard/Daniella Finch/Sam Peake/,Jamie Drew/Joanne Blunt/Arthur Mckechnie/Jennifer Orme/Keir Birchall/,2016-06-14,Ian Sheard & Jamie Drew,by Ian Sheard & Jamie Drew,by Ian Sheard & Jamie Drew,14 June 2016,STUFF,Tyrannosaurus Sketch,show,New Theatre,2015-16
Shannon Smith/Becca Jones/Niamh Caines/Tom Selves/George Waring/Jamie Watt/James Roscow/Callum Walker/Lydia Dyer/,Omid Faramarzi/Rachel Angeli/Jessica Millott/Emma Kendall/Will Pimblett/Darcey Graham/Darcey Graham/Dina Elkordy/Will Berrington/Natalia Gonzalez Morales/James Fox/Nathan Penney/Beth Wilson/James Gray/Natalia Gonzalez Morales/Max Miller/,2015-11-18,Steven Berkoff,by Steven Berkoff,by Steven Berkoff,18-21 November 2015,In House,West,show,New Theatre,2015-16
Jack Ellis/Mitchell Masterson/Jennifer Danaher/,Joanne Blunt/,2016-02-10,null,Playwright Unknown,Playwright Unknown,10-13 February 2016,External,When The Lights Come Up,show,New Theatre,2015-16
Jack Ellis/Mitchell Masterson/Jennifer Danaher/,NA,2016-06-14,null,Playwright Unknown,Playwright Unknown,14 June 2016,STUFF,When The Lights Come Up,show,New Theatre,2015-16
NA,NA,2016-05-02,Sabrina Mahfouz,by Sabrina Mahfouz,by Sabrina Mahfouz,2 May 2016,External,With a Little Bit of Luck,show,New Theatre Studio A,2015-16
Harry Pavlou/Natalia Gonzalez Morales/Chloe Richardson/Jess Lundholm/Callum Walker/Lisa Gier/Amy Crighton/,Emma White/Darcey Graham/Amy O'Dell/Joseph Heil/Max Miller/Emma White/,2016-11-21,Emma White,by Emma White,by Emma White,21-22 November 2016,Fringe,A Beautiful Thing,show,The Lofthouse,2016-17
Arnaud Lacey/Beth Angella/Will Kitchen/Ronan Lee/Sam Morris/,Yee Heng Yeh/James McGilloway/Rohanna Brown/Amy O'Dell/Becca Potts/Joanne Blunt/Ian Sheard/Ian Sheard/Yee Heng Yeh/,2016-11-28,Yee Heng Yeh and Ian Sheard,by Yee Heng Yeh and Ian Sheard,by Yee Heng Yeh and Ian Sheard,28-29 November 2016,Fringe,All The World's A Stage & Other Stories,show,New Theatre Studio A,2016-17
Ella Hiscocks/Libby Boyd/,Beth Angella/Izzy Miles/Hannah Burne/Joseph Heil/Sarah Chin/Ben Woodford/Rohanna Brown/Adam Frankland/Beth Wilson/Ed Eggleton/Tom Proffitt/Hannah Sweeney/David Mason/,2017-03-15,Mike Bartlett,by Mike Bartlett,by Mike Bartlett,15-18 March 2017,In House,An Intervention,show,New Theatre,2016-17
Grace Williams/Daniella Finch/Hugo Minta/Chris Trueman/Emma White/Eric Crouch/Ted Marriott/Leah Briars/Ian Sheard/Jeremy Dunn/Chrissy Courquin/Rose Edgeworth/Miguel Barrulas/Beth Wilson/,Felicity Chilver/Joanne Blunt/Izzy Widdowson/Adam Frankland/Harry Bridge/Emma Barber/Tom Proffitt/Darcey Graham/Joseph Heil/Joseph Heil/Becca Potts/Amy O'Dell/Jonny Gate/Karl Nycklemoe/Adam Humphries/Sam Layton/Rohanna Brown/Nathan Penney/Zoe Smith/Yee Heng Yeh/Andrew Houghton/Lena Grasselli/Nat Henderson/Amy Greaves/Keir Birchall/,2016-12-07,William Shakespeare,by William Shakespeare,by William Shakespeare,7-10 December 2016,In House,As You Like It,show,New Theatre,2016-17
Grace Williams/Beth Wilson/Rose Edgeworth/Will Berrington/,Callum Walker/Amy Crighton/Daniel McVey/Hannah Burne/Joe Strickland/Rohanna Brown/Amy Crighton/,2017-03-20,Callum Walker,by Callum Walker,by Callum Walker,20-21 March 2017,Fringe,The Black Dog on My Sofa,show,New Theatre Studio A,2016-17
Kate O'Gorman/Alice Simmons/Emma Pallett/Nat Henderson/Jamie Watt/Louis Djalili/Miguel Barrulas/Ted Marriott/Luke Slater/Louise Harris/Libby Boyd/Daniella Finch/Cameron Walker/Arnaud Lacey/Chloe Schlitter/,Martin Berry/Jake Leonard/Richard Statham/Jess Donn/Vicky Johnson/Annie McKee/Jessica Kyndt/Lisa Gillingham-Lee/,2017-05-09,Jessica Swale,by Jessica Swale,by Jessica Swale,9-13 May 2017,Lakeside,Blue Stockings,show,Djanogly Theatre,2016-17
Ben Macpherson/,Sam Osborne/,2017-06-21,Ben Macpherson,by Ben Macpherson,by Ben Macpherson,21 June 2017,STUFF,The Fall of Byron MontrosePoet/Gentleman/Lover,show,New Theatre Studio A,2016-17
Matteo Bagaini/Katie Baxter/Isabelle Cadwallader/Lorcan Campbell/Ellie Castaño/Angharad Davies/Rose Edgeworth/Jack Ellis/Emma Fearon/Marsya Hazanan/Nat Henderson/Rosie Hudson/Becki Jones/Daniel Morris/Beth Mullen/George Waring/Emily Wong/,Callum Walker/Jess Donn/Amy Crighton/Jamie Drew/Yee Heng Yeh/Joe Strickland/Joanne Blunt/Rohanna Brown/Ian Sheard/Beth Wilson/Felicity Chilver/,2017-02-06,null,Devised by Crew,Devised by Crew,6-7 February 2017,External,Camp Macbeth,show,New Theatre,2016-17
Jess Lundholm/Libby Boyd/Louis Djalili/Jamie Watt/,Max Miller/Charlotte Sanders/Joanne Blunt/Joe Strickland/Ross Brisk/Becca Potts/Joanne Blunt/Perdita Vaughan Williams/Tom Proffitt/Adam Humphries/Emma Barber/Yee Heng Yeh/Adam Frankland/Rohanna Brown/Beth Wilson/Laura Wolczyk/Jess Donn/Amy Crighton/Ian Sheard/Lisa Gier/Darcey Graham/Harry Bridge/Max Miller/,2016-11-09,Patrick Marber,by Patrick Marber,by Patrick Marber,9-12 November 2016,In House,Closer,show,New Theatre,2016-17
Sophie Walton/Kate Maguire/,Andrew Houghton/Miguel Barrulas/Beth Wilson/Oliver Kueck/Joanne Blunt/,2016-11-14,Mike Bartlett,by Mike Bartlett,by Mike Bartlett,14-15 November 2016,Fringe,Contractions,show,New Theatre Studio A,2016-17
Laurence Cuthbert/Chris Trueman/Josh Mallalieu/Matteo Bagaini/,Beth Mullen/James Curling/George Waring/Arthur Mckechnie/Emily Brady/Ben Hollands/,2017-06-11,null,Devised by Cast and Crew,Devised by Cast and Crew,11-12 June 2017,Fringe,Crystal QuestA 5D Adventure,show,Trent/Performing Arts Studio,2016-17
Harry Pavlou/Rachel Connolly/Sasha Gibson/Cameron Walker/Alice Simmons/Emilie Brittain/Sam Morris/Selin Aci/Matthew Charlton/Charlotte Kirkman/Rachael Baines/Emma Pallett/,Laurence Cuthbert/Josh Mallalieu/Emily Sterling/Jacob Lloyd/Nathan Penney/Sam Osborne/Darcey Graham/Jessica Millott/David Taylor/Ben Woodford/Izzie Masters/Joseph Heil/Rohanna Brown/Hannah Burne/Yee Heng Yeh/Tom Price/Adam Humphries/Adam Frankland/Joanne Blunt/Jess Donn/Jess Donn/Will Berrington/Rohanna Brown/Hannah Burne/Yee Heng Yeh/Lena Grasselli/Louis Djalili/Josh Mallalieu/,2016-12-13,Lawrence Cuthbert and Josh Mallalieu,by Lawrence Cuthbert and Josh Mallalieu,by Lawrence Cuthbert and Josh Mallalieu,13-16 December 2016,In House,DEADA Musical,show,New Theatre,2016-17
Louise White/,Nathan Penney/,2017-06-20,Louise White,by Louise White,by Louise White,20 June 2017,STUFF,Debris,show,New Theatre,2016-17
Rachel Connolly/Laura Jayne Bateman/Sophie Walton/,Ed Eggleton/Emma  McDonald/Isabelle Cadwallader/Joanne Blunt/Emily Dimino/Amy O'Dell/Sarah Chin/Ben Woodford/Hannah Burne/Adam Frankland/Sam Layton/Kaitlyn Samuelsen/Charlotte Kirkman/Darcey Graham/Laura Wolczyk/Emma Summerton/Will Berrington/,2017-03-22,Amelia Bullmore,by Amelia Bullmore,by Amelia Bullmore,22-25 March 2017,In House,Di and Viv and Rose,show,New Theatre,2016-17
Sam Morris/Emma Pallett/Jack Ellis/George Waring/Kate O'Gorman/,Laurence Cuthbert/Josh Mallalieu/Joanne Blunt/Adam Frankland/Keir Birchall/,2017-08-05,null,Devised,Devised,5-25 August 2017,Edinburgh,Escape for Dummies,show,Royal Terrace/Greenside,2016-17
Sam Morris/Emma Pallett/Jack Ellis/George Waring/Kate O'Gorman/,Laurence Cuthbert/Josh Mallalieu/Joanne Blunt/Adam Frankland/Ben Woodford/,2017-06-21,null,Devised,Devised,21 June 2017,STUFF,Escape for Dummies,show,New Theatre,2016-17
Lewys Holt/,Joanne Blunt/Ben Woodford/,2017-06-21,Lewys Holt,by Lewys Holt,by Lewys Holt,21 June 2017,STUFF,Footnotes,show,New Theatre,2016-17
Kate O'Gorman/Lara Cowler/,Niamh Caines/Lydia Smith/Jess Donn/Darcey Graham/Joanne Blunt/Adam Humphries/Tom Proffitt/Hannah Burne/Joseph Heil/Joe Strickland/Harry Bradley/Gus Herbert/,2016-11-02,Anna Jordan,by Anna Jordan,by Anna Jordan,2-5 November 2016,In House,FREAK,show,New Theatre,2016-17
Melinda Beaumont/Lydia Fitzsimons/Rachel Waters/Polly Hedley/Aila Khan/Matteo Bagaini/Amy Crighton/Sarah Haywood/Sam Morris/Daniel McVey/David Mason/Isaac Sneade/Al Kamyani/Katie Webster/Olivia Cunningham/Chloe Schlitter/Laura Wolczyk/Daniel Morris/Frank Micklethwaite/Jack Ellis/Hugo Minta/Emma Donaldson/Chris Odulele/Nat Henderson/Katie Baxter/Jonny Khan/Alex Holder/Eleanor Edwardes/Ollie Topp/Oliver Kueck/Emily Wong/Lorcan Campbell/Isabelle Cadwallader/Grace Williams/Bryony Taylor/Eric Crouch/Shamini Vasu/Lois Baglin/Kate O'Gorman/Emma  McDonald/Eugene Ong/Rachel Cunliffe/Eleanor Gray/Ruby Tyler/Leah Briars/Izzie Rockingham/Perdita Vaughan Williams/Freya Whiteside/James Wasp/Kilian Bachmair/Helen Brown/Lisa Gier/,Duncan McGillivray/Joe Hincks/Maggie Dorling/Emma Summerton/Louis Djalili/Harry Pavlou/Charlotte Sanders/Gigi George/Rachael Baines/Ronan Lee/Charlie Jamieson/Jess Donn/Ed Eggleton/Callum Walker/George Waring/Miguel Barrulas/Andrew Houghton/Beth Mullen/Emma Fearon/Molly Fenton/Ella Hiscocks/Michaela Green/Will Berrington/Chris Sharp-Paul/Maddy Strauss/Beth Wilson/Laurence Cuthbert/Josh Mallalieu/Joanne Blunt/Yee Heng Yeh/Becca Potts/Amy O'Dell/Joseph Heil/,2016-10-10,null,Various Writers,Various Writers,10-11 October 2016,In House,Freshers' Fringe,show,New Theatre,2016-17
NA,Joseph Heil/,2017-05-24,Finn Kennedy,by Finn Kennedy,by Finn Kennedy,24-27 May 2017,Postgrads,How to Disappear Completely and Never Be Found,show,New Theatre,2016-17
NA,Sam Osborne/,2017-06-20,null,Playwright Unknown,Playwright Unknown,20 June 2017,STUFF,Improvabunga!,show,New Theatre Studio A,2016-17
Felicity Chilver/Daniella Finch/,Emma White/Emily Sterling/Emily Wong/Ben Woodford/Joanne Blunt/Max Miller/,2017-03-13,Emma White,by Emma White,by Emma White,13-14 March 2017,Fringe,Infectious,show,New Theatre Studio A,2016-17
NA,Joseph Heil/,2017-01-25,Caryl Churchill,by Caryl Churchill,by Caryl Churchill,25-28 January 2017,Postgrads,Love + Information,show,New Theatre,2016-17
Maddy Strauss/James Curling/Jonny Khan/Nat Henderson/Emma Summerton/Charlie Jamieson/Boo Jackson/Arthur Mckechnie/,Joe Strickland/James Collyer/Jess Donn/Ronan Lee/Sam Layton/Tom Proffitt/Nathan Penney/Adam Frankland/Joe Strickland/Sam Morris/Rohanna Brown/Adam Humphries/Karl Nycklemoe/Amy O'Dell/Tom Proffitt/Ed Eggleton/Maggie Dorling/Laura Wolczyk/Amy Greaves/Ranait Flanagan/,2016-11-23,Philip Ridley,by Philip Ridley,by Philip Ridley,23-26 November 2016,In House,Mercury Fur,show,New Theatre,2016-17
Jack Ellis/Laura Wolczyk/Maddy Strauss/David Mason/,Tom Heath/Zoe Smith/Tenielle Chua/Darcey Graham/Joe Strickland/Joe Strickland/Emma Summerton/,2017-03-27,Tom Heath,by Tom Heath,by Tom Heath,27-28 March 2017,Fringe,Monarch,show,New Theatre Studio A,2016-17
Jamie Drew/Leora Gerson/Molly McConnell/Meer Gala-Shah/,Jennifer Danaher/Joanne Blunt/,2017-01-29,null,Playwright Unknown,Playwright Unknown,29 January-1 February 2017,External,One Word Story Land,show,New Theatre,2016-17
Dave Porter/Emma White/Andrew Houghton/Chloe Schlitter/Ted Marriott/Beth Mullen/Duncan McGillivray/James Curling/Callum Walker/Rose Edgeworth/Beth Summerfield/Maggie Dorling/Luke Slater/Louise Harris/,Iona Hampson/Kate Maguire/Rosa Morgan/Ross Brisk/Iona Hampson/Adam Frankland/Emma Barber/Ben Woodford/Hannah Burne/Rohanna Brown/Darcey Graham/Emma Summerton/Lara Cowler/Miguel Barrulas/Max Miller/Dave Porter/Iona Hampson/Eric Crouch/,2017-04-04,Iona Hampson,by Iona Hampson,by Iona Hampson,4-7 April 2017,In House,Our Temple,show,New Theatre,2016-17
NA,Sam Osborne/,2017-06-20,null,Various Writers,Various Writers,20 June 2017,STUFF,A Programme of Performance Art,show,New Theatre Studio A,2016-17
Michaela Green/Niamh Caines/Charlotte Sanders/Kate O'Gorman/Jonny Khan/Jamie Watt/Max Miller/,Maddy Strauss/Grace Williams/Angharad Davies/Sam Osborne/Joanne Blunt/Felicity Chilver/Joanne Blunt/Beth Wilson/Nathan Penney/Ben Woodford/Adam Frankland/Rohanna Brown/Laura Wolczyk/,2017-06-14,Alistair McDowall,by Alistair McDowall,by Alistair McDowall,14-17 June 2017,In House,Pomona,show,New Theatre,2016-17
Rosie Hudson/Lara Bellis/Zoe Robinson/Emily Wong/Angharad Davies/Marsya Hazanan/,Jamie Drew/Emma Summerton/Nat Henderson/Joe Strickland/Emily Wong/Nat Henderson/Isabelle Cadwallader/Daniel Morris/Jess Donn/Joseph Heil/Joseph Heil/Sam Osborne/Hannah Burne/Rohanna Brown/Sam Morris/,2017-05-18,null,Devised by Crew,Devised by Crew,18-19 May 2017,External,Potential,show,New Theatre,2016-17
Izzie Masters/Rachael Baines/Louis Djalili/,Sasha Gibson/Emilie Brittain/Charlotte Kirkman/Ben Woodford/Nathan Penney/Ben Woodford/Chris Sharp-Paul/Gigi George/Rachel Connolly/Max Miller/Jamie Watt/Niamh Caines/The Cast of The Pillowman/,2017-06-06,Sasha Gibson and Emilie Brittain,by Sasha Gibson and Emilie Brittain,by Sasha Gibson and Emilie Brittain,6-7 June 2017,External,The Redundant Restaurant,show,New Theatre,2016-17
Daniella Finch/Lois Baglin/Chloe Richardson/Harry Pavlou/,Felicity Chilver/Joanne Blunt/Natalia Gonzalez Morales/Hannah Burne/Rohanna Brown/Ben Lord/David Mason/Sam Morris/Joanne Blunt/Beth Wilson/Darcey Graham/Rohanna Brown/Ben Woodford/Becca Potts/Adam Frankland/Darcey Graham/Sam Osborne/Joseph Heil/,2017-03-01,Alice Birch,by Alice Birch,by Alice Birch,1-4 March 2017,In House,Revolt. She Said. Revolt Again.,show,New Theatre,2016-17
Daniel Morris/Matteo Bagaini/Isabelle Cadwallader/,Tom Proffitt/Ed Eggleton/Nat Henderson/Harry Pavlou/Joanne Blunt/Chris Trueman/Jamie Drew/Joe Strickland/,2017-04-02,Tom Proffitt,by Tom Proffitt,by Tom Proffitt,2-3 April 2017,Fringe,The Ringmaster,show,New Theatre Studio A,2016-17
Sam Morris/Joe Strickland/Boo Jackson/Arthur Mckechnie/Jess Lundholm/Andrew Houghton/,Emma Summerton/Maggie Dorling/Charlie Jamieson/Nathan Penney/Jess Donn/Jess Donn/Will Peters/Emily Dimino/Ed Eggleton/Emma Summerton/,2017-05-15,Emma Summerton,by Emma Summerton,by Emma Summerton,15-16 May 2017,Fringe,Rumours,show,New Theatre Studio A,2016-17
NA,Ben Woodford/,2017-06-21,Charlie Davis,by Charlie Davis,by Charlie Davis,21 June 2017,STUFF,Speechless,show,New Theatre Studio A,2016-17
NA,Sam Osborne/,2017-06-21,null,Various Writers,Various Writers,21 June 2017,STUFF,StuFF Your Ears With Spoken Word,show,New Theatre Studio A,2016-17
Arthur Mckechnie/Nat Henderson/Lara Bellis/Joe Strickland/,Joe Strickland/James Collyer/Jess Donn/Jess Donn/,2017-06-20,null,Devised,Devised,20 June 2017,STUFF,StrangersA Magic Play II,show,New Theatre Studio A,2016-17
Louis Djalili/Michaela Green/George Waring/Charlotte Kirkman/Kate O'Gorman/Natalia Gonzalez Morales/,Jamie Watt/Maddy Strauss/Danny Wiser/Joseph Heil/Max Miller/,2016-12-04,Ben Webber,by Ben Webber,by Ben Webber,4-5 December 2016,Fringe,The Super Awesome Happy Fun-Time Trick Performance,show,New Theatre Studio A,2016-17
Nick Gill/Sophie Walton/Harry Bradley/Harry Pavlou/Gigi George/,Laura Jayne Bateman/Gigi George/James Fox/Arthur Mckechnie/Aneesa Kaleem/,2016-10-17,F. Scott Fitzgerald,by F. Scott Fitzgerald,by F. Scott Fitzgerald; Adapted by L. J. Bateman,17 October 2016,Lakeside,The Great Gatsby,show,Djanogly Theatre,2016-17
Arthur Mckechnie/Chris Sharp-Paul/Isabelle Cadwallader/Neil Ganatra/,Tom Proffitt/Emily Dimino/Daniel Morris/Ed Eggleton/Rohanna Brown/Hannah Burne/Nathan Penney/Joseph Heil/Joe Strickland/Jess Donn/Marsya Hazanan/,2016-12-11,Tom Proffitt,by Tom Proffitt,by Tom Proffitt,11-12 December 2016,Fringe,The Greatest Thing You've Ever Seen,show,New Theatre Studio A,2016-17
NA,Nathan Penney/Joseph Heil/Joanne Blunt/,2017-06-21,Ben Price,by Ben Price,by Ben Price,21 June 2017,STUFF,The Iconoclasts,show,New Theatre,2016-17
Jess Lundholm/Jack Ellis/Daniel McVey/Miguel Barrulas/Emma Pallett/,Joe Strickland/Amy Naylor/Zoe Smith/Darcey Graham/Emily Dimino/Becca Potts/Joe Strickland/Nat Henderson/Emma Barber/Hannah Burne/Adam Humphries/Adam Frankland/Zoe Smith/Jess Donn/Tom Proffitt/Amy Greaves/David Mason/,2017-03-08,Jennifer Haley,by Jennifer Haley,by Jennifer Haley,8-11 March 2017,In House,The Nether,show,New Theatre,2016-17
Shannon Smith/Harry Bradley/Genevieve Cunnell/Lyle Fulton/Daniella Finch/,Gus Herbert/Rachel Angeli/Will Pimblett/Ben Hollands/Ollie Shortt/Harry Bradley/Beth Wilson/Libby Boyd/Felicity Chilver/Harry Bradley/,2017-06-02,Martin McDonagh,by Martin McDonagh,by Martin McDonagh,2-3 June 2017,External,The Pillowman,show,New Theatre,2016-17
Arnaud Lacey/Chris Sharp-Paul/Ella Hiscocks/David Mason/,Laura Jayne Bateman/Aneesa Kaleem/Hugo Minta/Rohanna Brown/Amy O'Dell/Ben Woodford/Karl Nycklemoe/Emily Dimino/Perdita Vaughan Williams/Tom Proffitt/Adam Humphries/Emma Barber/Emily Dimino/Adam Frankland/Joe Strickland/Tom Proffitt/Max Miller/Aneesa Kaleem/,2016-11-16,Alexi Kaye Campbell,by Alexi Kaye Campbell,by Alexi Kaye Campbell,16-19 November 2016,In House,The Pride,show,New Theatre,2016-17
Chris Sharp-Paul/George Waring/Claire Wimbush/Pete Przyslo/Iona Hampson/,Will Berrington/Laura Wolczyk/Becca David/Nathan Penney/Hannah Burne/Ben Woodford/Emma Barber/Ollie Shortt/David Taylor/Joseph Heil/Darcey Graham/Lucy Simmons/Adam Frankland/Joanne Blunt/Rohanna Brown/Zoe Smith/Dave Porter/Kaitlyn Samuelsen/Tom Proffitt/Maddy Strauss/Sasha Gibson/Rachael Baines/Zoe Smith/,2017-05-10,Irvine Welsh,by Irvine Welsh,by Irvine Welsh; Adapted by Harry Gibson,10-13 May 2017,In House,Trainspotting,show,New Theatre,2016-17
Lynton Appleton/Nancy Hall/,Sam Osborne/,2017-06-21,Lynton Appleton and Nancy Hall,by Lynton Appleton and Nancy Hall,by Lynton Appleton and Nancy Hall,21 June 2017,STUFF,Twenty-Something,show,New Theatre Studio A,2016-17
Henry Hempstead/Chris Trueman/Ian Sheard/Beth Wilson/Angharad Davies/,Jonathan Taylor Davies/Hugo Minta/Rose Edgeworth/Joanne Blunt/Joanne Blunt/,2017-05-08,Jonathan Taylor Davies,by Jonathan Taylor Davies,by Jonathan Taylor Davies,8-9 May 2017,Fringe,Uz & Them,show,New Theatre Studio A,2016-17
NA,Joseph Heil/,2017-06-20,null,Various Writers,Various Writers,20 June 2017,STUFF,The Weird and The EerieA Collections of Short Films,show,New Theatre,2016-17
Lois Baglin/Bertie Beeching/Gigi George/Joe Hincks/Izzie Masters/Darcey Graham/Andrew Houghton/Beth Mullen/,Will Berrington/Dave Porter/Laura Wolczyk/Becca Potts/Joseph Heil/Nathan Penney/Hannah Burne/Rohanna Brown/Adam Frankland/Matthew Lewinton/Tom Proffitt/Emma  McDonald/Chris Sharp-Paul/Miguel Barrulas/Sophie Walton/Libby Boyd/Karl Nycklemoe/Amy Crighton/Max Miller/Lisa Gier/Will Berrington/,2016-11-30,Margaret Edson,by Margaret Edson,by Margaret Edson,30 November-3 December 2016,In House,W;t,show,New Theatre,2016-17
Maddy Strauss/Emma White/Callum Walker/Felicity Chilver/Andrew Houghton/Miguel Barrulas/,Chris Trueman/Amy Crighton/Adam Frankland/Ian Sheard/Keir Birchall/,2017-08-04,null,Devised,Devised,4-26 August 2017,Edinburgh,Wrecked,show,Royal Terrace/Greenside,2016-17
Maddy Strauss/Emma White/Callum Walker/Felicity Chilver/Andrew Houghton/Miguel Barrulas/,Chris Trueman/Amy Crighton/Adam Frankland/Sam Osborne/Ian Sheard/,2017-06-20,null,Devised,Devised,20 June 2017,STUFF,Wrecked,show,New Theatre,2016-17
Ian Sheard/Lara Cowler/Sam Andre-Paul/Reisha Gill/Ellen Schaffert/Molly McConnell/Josie Thomas/Mia Ottman/,Liam Webber/Sam Osborne/Ben Woodford/,2017-01-29,null,Playwright Unknown,Playwright Unknown,29 January-2 February 2017,External,...And Another Thing! An Improvised Play,show,New Theatre,2017-18
Callum Walker/Margaux Valarche/Alex Piechowski/Chris Odulele/Jack Lahiff/Rose Edgeworth/Nat Henderson/Bertie Beeching/Leonora Hamilton-Shield/Amy Crighton/Reilly Salmon/Matteo Bagaini/Jack Ellis/,Will Berrington/Josie Hayden/Dave Porter/Darcey Graham/Nathan Penney/Hannah Burne/Laura Wolczyk/Jonathan Taylor Davies/Hannah McCullough/Rohanna Brown/Ben Woodford/Nathan Penney/Maddy Strauss/James Curling/Florence Bell/Becca Potts/Adam Frankland/Zoe Smith/Laura Wolczyk/Zoe Smith/Daniel McVey/Rosa Morgan/Joe Strickland/Elisa Orrichio/Maggie Dorling/Ella Quinton/,2017-11-29,John Hodge,by John Hodge,by John Hodge,29 November-2 December 2017,In House,Collaborators,show,New Theatre,2017-18
Francis Simmons/Charlie Basley/Beth Carter/Emily Wong/Eleanor Rickenbach/,Daniel McVey/Florence Bell/Hannah McCullough/Zoe Smith/Laura Wolczyk/Hannah Burne/Sam Osborne/Yasmine Dankwah/Rosa Morgan/Nat Henderson/Jase Neal/,2017-12-10,null,Devised,Devised,10-11 December 2017,Fringe,Death of the Author,show,New Theatre,2017-18
Lucy Chandler/Daniel McVey/Claire Wimbush/Eric Crouch/Arthur Mckechnie/Isabelle Cadwallader/Laura Wolczyk/Jess Donn/Etan Feingold/,Grace Lievesley/Zoe Smith/Adam Frankland/Joe Strickland/Ted Marriott/Francesca Ashby/Beth Wilson/Joe Strickland/Zoe Smith/Darcey Graham/Ben Woodford/Tom Proffitt/Rohanna Brown/Becca Potts/Rosa Morgan/Louis Djalili/,2017-11-22,Henrik Ibsen,by Henrik Ibsen,by Henrik Ibsen; Translated by Simon Stephens,22-25 November 2017,In House,A Doll's House,show,New Theatre,2017-18
Sam Morris/Emma Pallett/Jack Ellis/George Waring/Kate O'Gorman/,Laurence Cuthbert/Josh Mallalieu/Joanne Blunt/Adam Frankland/,2017-09-25,null,Devised,Devised,25-26 September 2017,Lakeside,Escape for Dummies,show,Djanogly Theatre,2017-18
Francis Simmons/Lara Cowler/Chloe Richardson/Sophie Curtis/Angharad Davies/Sam Andre-Paul/,Ed Eggleton/Jonathan Taylor Davies/Rohanna Brown/Sam Osborne/Tara Prasad/Jess Donn/,2017-11-27,Shelagh Stephenson,by Shelagh Stephenson,by Shelagh Stephenson,27-28 November 2017,Fringe,Five Kinds of Silence,show,New Theatre Studio A,2017-18
Jack Lahiff/Owen Davies/Matthew Thomas/Ronan Sullivan/Alex Piechowski/Dom Bitten/Esther Butterworth/Laura Tapio/Ellie Roberts/Megan Openshaw/Lillian Race/Riana Howarth/Salman Arif/Ellen Dennis/Sasha Minakova/Ewa Rubaszewska/Bethany Bradley/Ophelia Coutts/Cameron Brett/Rosiella Sutherland/Cecilia Shah/Nicola Lang/Alex Wells/Ethan McCrystal/Danni Cooper/Hannah Yates/Nicole Solomon/Yasmine Dankwah/Jazmine Greenaway/Elle Stockley/Beth Carter/Vytatus Valuta/Tara Phillips/Aitor Tejo/Francis Simmons/Alex Levy/Hugo Douglas-Freeman/Aashni Chohan/Dilara Devin/Charlie Basley/Gordon Cullen/Nadia Elafi/Francesca Littler/Eleanor Rickenbach/Holly Shaw/Molly Johnstone/Tszwan Leung/Lucy Chandler/William Tillett/Reilly Salmon/Sabine McGinley/Tom Lantink/Zhen Xin Ong/Olivia Wilson/,Callum Walker/Jack Ellis/Ian Sheard/Joe Strickland/Nat Henderson/Hugo Minta/David Mason/Maddy Strauss/Charlotte Sanders/Michaela Green/Grace Williams/Leah Briars/Isabelle Cadwallader/Emily Wong/Rosie Hudson/Amy Crighton/Rose Edgeworth/Ted Marriott/Kate Maguire/Luke Slater/Ed Eggleton/Maggie Dorling/Emma Summerton/Louis Djalili/Harry Pavlou/Jamie Watt/Emma Pallett/Daniel McVey/Darcey Graham/Tom Proffitt/Emily Sterling/Daniel Morris/Angharad Davies/George Waring/Sam Morris/Matteo Bagaini/Bertie Beeching/Jonathan Taylor Davies/Jamie Drew/Sam Osborne/Hannah Burne/Stuart Ellis/Hannah McCullough/Hayoung Cho/Jakub Kolek/Callum Walker/Amy Crighton/Jack Ellis/,2017-10-09,null,Various Writers,Various Writers,9-10 October 2017,In House,Freshers' Fringe,show,New Theatre,2017-18
